freq_hz,s21_db_median,s21_db_hdi_low,s21_db_hdi_high,gd_ns_median,gd_ns_hdi_low,gd_ns_hdi_high
2293001962.0667105,-5.016553604958549,-5.131514045490149,-4.885031872396206,0.9779039514607858,0.8104134705787568,1.160895113528208
2294964028.7769785,-4.91840533467685,-5.056214025438387,-4.796692248005742,1.0549467595554365,0.8853035636062978,1.2413365590421808
2296926095.4872465,-4.8408564075635105,-4.952316425673081,-4.703423161458511,1.1363491487711603,0.9631475998211046,1.3018022735021602
2298888162.1975145,-4.773016940412826,-4.897063598977321,-4.6447847368018556,1.2245024206351844,1.0533428713910022,1.3970953458241926
2300850228.9077826,-4.720701506800566,-4.852990656717106,-4.586060927716245,1.3213501044096085,1.1314000301038212,1.4764188919180328
2302812295.618051,-4.649620868079754,-4.783358008243557,-4.555451989462319,1.3811988316883705,1.2253305702465334,1.5478788003988129
2304774362.328319,-4.582771430404449,-4.7059261155186665,-4.479058057152837,1.460563521356332,1.2846714647511261,1.6045515790368352
2306736429.0385876,-4.537114539090757,-4.6505063827216295,-4.406182322924678,1.5169803107288746,1.360548624091933,1.6761194602850087
2308698495.7488556,-4.482692667983585,-4.6196417414799775,-4.379543116540183,1.5258340693648051,1.3555584282526785,1.691507170029236
2310660562.4591236,-4.408423143853212,-4.553779542015173,-4.306803795139999,1.5136313511022785,1.349087842925888,1.6828300522856907
2312622629.1693916,-4.3281447808205815,-4.422963727513694,-4.213322482906474,1.463745259959321,1.3136123492554257,1.6545057854251193
2314584695.8796597,-4.275885447035318,-4.399693147369166,-4.167713730188475,1.4192889302627032,1.2793446763017937,1.5797124075147821
2316546762.589928,-4.226198037141894,-4.3439902793639495,-4.113922877951588,1.337066865029613,1.1791984080717006,1.4953737586400027
2318508829.300196,-4.156063907303814,-4.267567376712169,-4.056546531742523,1.246197338896775,1.091192695903571,1.3972912965062922
2320470896.0104647,-4.084022593734774,-4.199102529733084,-3.971147503959838,1.1565027859730936,1.00002941909985,1.326138558564386
2322432962.7207327,-4.034632211583707,-4.1316830416643295,-3.9343638253617934,1.07036720071897,0.8835630624972881,1.2148778447246755
2324395029.4310007,-3.976159847780986,-4.072884249903542,-3.8572272399352014,1.0194924153896554,0.8569065368370768,1.177411833072194
2326357096.1412687,-3.9293680132997846,-4.047622082703597,-3.8270062299554426,1.0040399765773484,0.8652226809103527,1.1813406809260827
2328319162.8515368,-3.8758037877831635,-4.011260008107292,-3.77590789471344,1.026355503122594,0.894229560965998,1.2051123642947408
2330281229.561805,-3.83586960789531,-3.9573850553854717,-3.735297964282744,1.0880760466419523,0.9224303654546748,1.2172251232155973
2332243296.2720733,-3.804206326221888,-3.9020490060694737,-3.7014965094537517,1.1228630496087817,0.9791138744186615,1.2705792366690762
2334205362.982342,-3.762998114908693,-3.870362355641575,-3.6644022366540474,1.162170706207787,1.0170519900218316,1.3282984375726594
2336167429.69261,-3.7344096616989444,-3.855848771548629,-3.628251894231238,1.2225891873799342,1.0490511965623592,1.3827062127835514
2338129496.402878,-3.701789243409678,-3.8138722822828033,-3.60617605623386,1.2645761155907986,1.1072595827989118,1.4210032504083259
2340091563.113146,-3.673298608588303,-3.769661142818439,-3.581581680181541,1.3180728479126644,1.178580897528286,1.49575595556657
2342053629.823414,-3.6478367121874884,-3.7610948668292505,-3.561024741111776,1.3548859990589732,1.2005836123616305,1.5043795635217547
2344015696.533682,-3.6117036740229618,-3.7117882598216023,-3.497808405101847,1.383367898110451,1.2485098444453349,1.530012459817835
2345977763.2439504,-3.581007329169303,-3.6843093440083003,-3.49637098712106,1.3704351376464983,1.2068061653878586,1.5185774030710444
2347939829.9542184,-3.5469782494317226,-3.6507096982976783,-3.436004618919888,1.321665945900142,1.1639374523610784,1.4719040755124837
2349901896.664487,-3.4859924277539163,-3.6092013034245065,-3.39778925708377,1.2578471693608468,1.0994564781145224,1.4080582376056694
2351863963.374755,-3.441562838615261,-3.543224116822606,-3.33071072536817,1.1779171484027748,1.0110178255995377,1.32668405862646
2353826030.085023,-3.383819663684219,-3.47866160143041,-3.2734927116903485,1.112482344608872,0.9607585803120038,1.2575112950645027
