time_s,impulse_re,impulse_im,impulse_mag,step_re,step_im,step_mag
3.4850830078125e-07,303.6816473068326,26.103060762091427,304.8014315782341,2.154852744609531e-06,2.5219041797761706e-06,3.3171359699179875e-06
3.486016845703125e-07,70.94608038554567,195.07754583126263,207.57792563184717,2.161477958415066e-06,2.5401212601669075e-06,3.3352965357020475e-06
3.48695068359375e-07,-64.94457249249221,101.34845649676296,120.37153787548296,2.155413188156673e-06,2.5495855630502112e-06,3.3385914028215216e-06
3.487884521484375e-07,-114.66215265447,19.58280329642429,116.32237719503256,2.144705601879736e-06,2.5514142794224967e-06,3.3330881992493597e-06
3.488818359375e-07,-87.1879346787629,-163.98205439877793,185.71981617046683,2.136563662178899e-06,2.536101013844486e-06,3.3161291643973e-06
3.489752197265625e-07,208.5959275793539,-198.2452348262569,287.77323387349423,2.156043140279266e-06,2.5175881226528254e-06,3.314629991125383e-06
3.49068603515625e-07,328.0074892202717,156.6164327364641,363.47987562956223,2.186673722463532e-06,2.5322135585712085e-06,3.345690881525725e-06
3.491619873046875e-07,2.799723487683537,374.99401947249874,375.00447076234735,2.186935171251139e-06,2.567231920985327e-06,3.3724420201659897e-06
3.4925537109375e-07,-291.4115119973641,170.37440400275554,337.56200447308055,2.159722060084393e-06,2.5831421283903698e-06,3.3670495440786587e-06
3.493487548828125e-07,-256.2114395229186,-144.97623234649762,294.38479866968646,2.1357960650605853e-06,2.5696036984898485e-06,3.3413302738312156e-06
3.49442138671875e-07,22.752852585974892,-271.5869273223683,272.538348481832,2.1379208126470442e-06,2.5442418821566437e-06,3.3232321850977217e-06
3.495355224609375e-07,265.2987383085517,-72.28943108035597,274.971239212451,2.1626954140637974e-06,2.537491221173188e-06,3.3340835549733267e-06
3.4962890625e-07,177.7044082330943,221.50519369836417,283.9778293121209,2.179290125037713e-06,2.5581762154577643e-06,3.3605908704304814e-06
3.497222900390625e-07,-90.06629483459638,264.76419959036036,279.6641179163974,2.1708793931592383e-06,2.582900899623612e-06,3.3740323645335544e-06
3.4981567382812497e-07,-252.24711822605045,100.42449046161902,271.5026462814366,2.1473236014791934e-06,2.592278919057589e-06,3.3661415067789347e-06
3.499090576171875e-07,-237.1271790647646,-127.76511754728934,269.35705729214817,2.1251797670084237e-06,2.5803477282710074e-06,3.342840624513129e-06
3.5000244140624997e-07,-13.946417566407533,-249.59556825218615,249.98490005211977,2.1238773976922247e-06,2.5570395483744107e-06,3.3240497066648548e-06
3.500958251953125e-07,185.5880218255518,-81.84058740694816,202.83193928037025,2.1412083103749084e-06,2.549396964223249e-06,3.3292939055615518e-06
3.5018920898437497e-07,87.6412919341743,129.95067727107812,156.74238282960695,2.1493925862940544e-06,2.5615322508580603e-06,3.343850469474047e-06
3.502825927734375e-07,-94.33184554750913,97.08652618034174,135.3672436380578,2.1405835211275697e-06,2.5705985585396964e-06,3.3451569111312654e-06
3.503759765625e-07,-121.9788204478851,-32.86281189734338,126.3281324316067,2.1291926766887716e-06,2.5675297046454744e-06,3.3355164875476143e-06
